time,force
22.5,835.49
22.52,844.41
22.54,842.17
22.56,832.4
22.58,742.11
22.6,883.4
22.62,798.56
22.64,808.81
22.66,815.42
22.68,640.13
22.7,1001.7
22.72,827.65
22.74,811.6
22.76,609.55
22.78,1029.01
22.8,818
22.82,819.11
22.84,829.96
22.86,610.23
22.88,1029.34
22.9,811.7
22.92,819.56
22.94,828.43
22.96,827.22
22.98,817.17
23,513.99
23.02,1102.27
23.04,820.39
23.06,822.5
23.08,472.68
23.1,1514.82
23.12,103.54
23.14,1143.07
23.16,374.83
23.18,1229.35
23.2,801.6
23.22,806.4
23.24,817.3
23.26,326.69
23.28,1300.15
23.3,825.26
23.32,800.44
23.34,821.12
23.36,273.13
23.38,1383.53
23.4,843.05
23.42,828.93
23.44,826.39
23.46,191.43
23.48,1388.91
23.5,828.55
23.52,845.84
23.54,841.87
23.56,821.65
23.58,189.06
23.6,1478.09
23.62,825.84
23.64,798.53
23.66,159.72
23.68,1525.95
23.7,870.49
23.72,842.7
23.74,811.02
23.76,803.23
23.78,262.68
23.8,1472.99
23.82,857.9
23.84,809.91
23.86,779.31
23.88,194.84
23.9,1411.06
23.92,825.04
23.94,817.2
23.96,214.01
23.98,1451.99
24,1427.55
24.02,-380.51
24.04,1422.21
24.06,838.72
24.08,337.39
24.1,1374.84
24.12,769.72
24.14,768.75
24.16,810.53
24.18,191.25
24.2,1480.25
24.22,800.52
24.24,809.54
24.26,821.12
24.28,37.36
24.3,1507.06
24.32,814.91
24.34,828.52
24.36,826.21
24.38,-87.74
24.4,1688.16
24.42,843.3
24.44,848.05
24.46,8.78
24.48,1673.98
24.5,869.22
24.52,867.28
24.54,857.5
24.56,843.97
24.58,163.06
24.6,1560.4
24.62,874.82
24.64,881.15
24.66,903.43
24.68,625.86
24.7,1298.32
24.72,968.72
24.74,964.36
24.76,978.72
24.78,1391.82
24.8,608.01
24.82,941.32
24.84,917.15
24.86,1836.7
24.88,3.08
24.9,859.67
24.92,850.86
24.94,852.15
24.96,1913.83
24.98,-250.18
25,815.19
25.02,815.05
25.04,822.39
25.06,1851.72
25.08,-221.1
25.1,810.5
25.12,809.3
25.14,820.99
25.16,1745.41
25.18,-163.81
25.2,-50.25
25.22,2499.52
25.24,1.96
25.26,1737.52
25.28,-53.57
25.3,808.58
25.32,784.31
25.34,791.32
25.36,816.75
25.38,1539.8
25.4,69.85
25.42,798.88
25.44,808.23
25.46,1472.49
25.48,159.95
25.5,802.33
25.52,799.39
25.54,807.83
25.56,1346.4
25.58,261.75
25.6,303.33
25.62,1811.23
25.64,306.01
25.66,821.87
25.68,1295.47
25.7,-95.48
25.72,1872.28
25.74,378.04
25.76,1493.6
25.78,214.97
25.8,837.85
25.82,841.47
25.84,834.96
25.86,1504.3
25.88,166.5
25.9,848.83
25.92,833.08
25.94,813.1
25.96,809.26
25.98,1486.61
26,161.3
26.02,832.02
26.04,821.72
26.06,1466.86
26.08,147.81
26.1,807.4
26.12,809.13
26.14,807
26.16,801.27
26.18,1296.58
26.2,284.73
26.22,802.2
26.24,796.07
26.26,790.12
26.28,1110.21
26.3,457.06
26.32,801.42
