time,force
176.14,816.59
176.3,822.97
176.46,828.5
176.62,827.67
176.78,827.41
176.94,827.64
177.1,827.62
177.26,826.93
177.42,827.59
177.58,828.01
177.74,830.34
177.9,820.53
178.06,786.63
178.22,772.2
178.38,813.84
178.54,797.57
178.7,820.5
178.86,802.91
179.02,879.4
179.18,834.08
179.34,806.18
179.5,836.05
179.66,816.75
179.82,801.96
179.98,841.37
180.14,866.11
180.3,930.23
180.46,951.38
180.62,882.52
180.78,850.69
180.94,848.3
181.1,825.43
181.26,814.63
181.42,834.53
181.58,813.19
181.74,787.51
181.9,826.47
182.06,805.67
182.22,775.81
182.38,800.18
182.54,801.6
182.7,812.83
182.86,834.92
183.02,825.83
183.18,828.08
183.34,826.56
183.5,829.01
183.66,827.08
183.82,826.87
183.98,827.95
184.14,828.04
184.3,827.57
184.46,826.41
184.62,821.46
184.78,819.28
184.94,836.77
185.1,799.89
185.26,810.84
185.42,793.38
185.58,793.86
185.74,797.65
185.9,842.06
186.06,874.46
186.22,779.2
186.38,825.95
186.54,788.05
186.7,826.6
186.86,836.69
187.02,873.52
187.18,848.58
187.34,823.4
187.5,921.22
187.66,994.79
187.82,857.92
187.98,818.54
188.14,798.75
188.3,834.62
188.46,849.2
188.62,801.78
188.78,825.83
188.94,845.58
189.1,831.84
189.26,807.66
189.42,788.25
189.58,794.04
189.74,793.96
189.9,813.72
190.06,810.57
190.22,825.11
190.38,825.66
190.54,829.09
190.7,826.48
190.86,827.82
191.02,828.14
191.18,827.15
191.34,825.81
191.5,823.93
191.66,798.84
191.82,846.05
191.98,800.87
192.14,801.31
192.3,788.58
192.46,820.49
192.62,825.47
192.78,839.65
192.94,819.68
193.1,782.38
193.26,853.49
193.42,799.75
193.58,837.49
193.74,834.49
193.9,844.09
194.06,837
194.22,859.26
194.38,937.34
194.54,990.84
194.7,872.6
194.86,764.91
195.02,796.38
195.18,827.79
195.34,847.99
195.5,817.48
195.66,827.31
195.82,863.31
195.98,823.58
196.14,807.94
196.3,748.98
196.46,782.3
196.62,814.46
196.78,811.86
196.94,829.5
197.1,826.39
197.26,826.4
197.42,829.64
197.58,828.29
197.74,827.13
197.9,830.48
198.06,826.6
198.22,827.34
198.38,828.47
198.54,827.35
198.7,827.47
198.86,825.72
199.02,820.32
199.18,816.99
199.34,794.2
199.5,795.23
199.66,789.18
199.82,810.74
199.98,832.35
200.14,831.55
200.3,785.8
200.46,859.44
200.62,808.33
200.78,836.96
200.94,829.41
201.1,835.12
201.26,858.86
201.42,842.94
201.58,908.69
201.74,1063.92
201.9,823.55
202.06,771.72
202.22,849.17
202.38,807.17
202.54,797.92
202.7,821.89
202.86,822.24
203.02,846.77
203.18,825.52
203.34,807.72
203.5,836.46
203.66,777.95
203.82,798.68
203.98,813.71
204.14,807.49
204.3,821.71
204.46,828.91
204.62,826.31
204.78,825.73
204.94,828.25
205.1,828.34
205.26,828
205.42,826.51
205.58,825.5
205.74,828.13
205.9,819.65
206.06,801.57
206.22,780.93
206.38,816.07
206.54,840.03
206.7,785.84
206.86,846.26
207.02,807.44
207.18,841.22
207.34,809.93
207.5,813.06
207.66,843.36
207.82,774.07
207.98,874.07
208.14,796.08
208.3,876.47
208.46,919.42
208.62,845.3
208.78,891.24
208.94,955.37
209.1,822.87
209.26,823.08
209.42,830.38
209.58,814.61
209.74,870.13
209.9,834.07
210.06,794.67
210.22,830.97
210.38,788.39
210.54,771.48
210.7,780.19
210.86,808.53
211.02,817.87
211.18,825.08
211.34,826.72
211.5,827.18
211.66,827.59
211.82,828.76
211.98,827.91
212.14,819.81
212.3,812.84
212.46,806.62
212.62,823.84
212.78,805.19
212.94,814.15
213.1,803.59
213.26,838.56
213.42,796.78
213.58,824.77
213.74,798.69
213.9,836.56
214.06,816.64
214.22,864.29
214.38,755.98
214.54,842.82
214.7,865.47
214.86,924.19
215.02,906.74
215.18,958.82
215.34,859
215.5,855.08
215.66,827.35
215.82,808
215.98,832.34
216.14,856.44
216.3,773.34
216.46,797.14
216.62,807.41
216.78,768.34
216.94,785.81
217.1,812.79
217.26,822.96
217.42,826.49
217.58,827.96
217.74,825.25
217.9,828.06
218.06,824.79
218.22,831.02
218.38,820.07
218.54,821.83
218.7,813.05
218.86,822.21
219.02,792.34
219.18,809.25
219.34,799.45
219.5,816.85
219.66,835.96
219.82,853.38
219.98,804.35
220.14,814.31
220.3,808.53
220.46,838.14
220.62,836.71
220.78,786.22
220.94,803.5
221.1,885.26
221.26,946.68
221.42,940.72
221.58,926.1
221.74,869.04
221.9,799.76
222.06,843.64
222.22,823.88
222.38,836.42
222.54,780.47
222.7,818.77
222.86,768.79
223.02,781.14
223.18,797.66
223.34,815.6
223.5,806.41
223.66,830.02
223.82,825.97
223.98,827.82
224.14,830.14
224.3,824.95
224.46,822.14
224.62,809.69
224.78,822.37
224.94,829.15
225.1,792.56
225.26,801.74
225.42,813.96
225.58,796.18
225.74,821.08
225.9,814.42
226.06,869.02
226.22,765.8
226.38,823.96
226.54,879.62
226.7,799.24
226.86,841.45
227.02,870.13
227.18,931.24
227.34,938.57
227.5,928.32
227.66,785.1
227.82,810.86
227.98,785.66
228.14,816.46
228.3,833.22
228.46,840.01
228.62,892.14
228.78,827
228.94,776.7
229.1,808.6
229.26,789.03
229.42,794.52
229.58,824.25
229.74,810.51
229.9,815.09
230.06,827.08
230.22,825.77
230.38,827.79
230.54,826.04
230.7,820.86
230.86,830.15
231.02,816.29
231.18,788.79
231.34,820.62
231.5,787.98
231.66,822.32
231.82,804.93
231.98,798.64
232.14,854.98
232.3,815.82
232.46,837.13
232.62,816.08
232.78,818.11
232.94,833.49
233.1,853.6
233.26,899.48
233.42,835.21
233.58,882.63
233.74,929.31
233.9,905.02
234.06,801.07
234.22,827.86
234.38,821.53
234.54,856.37
234.7,868.54
234.86,775.75
235.02,824.91
235.18,809.54
235.34,752.67
235.5,789.03
235.66,804.24
235.82,817.74
235.98,827.63
236.14,826.69
236.3,828.66
236.46,828.61
236.62,826.37
236.78,826.7
236.94,827.82
237.1,825.8
237.26,821.75
237.42,810.67
237.58,802.29
237.74,822.58
237.9,798.64
238.06,803.03
238.22,796.17
238.38,814.22
238.54,861.93
238.7,825.02
238.86,797.07
239.02,825.6
239.18,814.55
239.34,837.52
239.5,873.62
239.66,888.36
239.82,846.35
239.98,879.11
240.14,935.99
240.3,896.98
240.46,815.6
240.62,849.63
240.78,799.81
240.94,873.49
241.1,813.65
241.26,767.88
241.42,818.99
241.58,784.13
241.74,790.77
241.9,795.89
242.06,808.65
242.22,822.85
242.38,828.63
242.54,828.96
242.7,828.17
242.86,826.96
243.02,827.89
243.18,826.85
243.34,827.9
243.5,825.96
243.66,824.35
243.82,795.08
243.98,779.29
244.14,809.16
244.3,779.75
244.46,825.87
244.62,854.4
244.78,805.28
244.94,833.54
245.1,805.14
245.26,832.45
245.42,841.15
245.58,822.04
245.74,878.14
245.9,877.88
246.06,906.16
246.22,923.67
246.38,890.11
246.54,856.03
246.7,776.77
246.86,875.3
247.02,869.41
247.18,808.26
247.34,764.21
247.5,794.72
247.66,767
247.82,789.97
247.98,814.49
248.14,811.35
248.3,828.5
248.46,828.64
248.62,824.96
248.78,829.62
248.94,825.82
249.1,827.56
249.26,827.88
249.42,828.71
249.58,828.09
249.74,827.54
249.9,826.98
250.06,827.79
250.22,827.63
250.38,828.09
250.54,828.26
250.7,826.99
250.86,827.44
251.02,828.41
251.18,828.73
251.34,827.54
251.5,827.68
251.66,827.83
251.82,827.83
251.98,827.83
252.14,827.83
252.3,827.83
252.46,827.83
252.62,827.83
