Time (seconds),Value
162.95,81.65
163.13,83.13
163.29,83.29
163.48,83.14
163.64,81.78
163.82,86.66
163.99,84.08
164.17,84.52
164.34,84.9
164.52,84.96
164.68,85.01
164.88,84.8
165.04,85.27
165.21,84.98
165.39,85.12
165.58,85.3
165.78,84.19
165.96,84.86
166.13,84.31
166.3,82.75
166.48,79.97
166.66,85.34
166.83,85.04
167.0,83.91
167.16,83.54
167.33,84.64
167.53,83.48
167.7,83.91
167.86,86.16
168.03,89.38
168.21,89.79
168.37,96.03
168.55,96.7
168.72,92.42
168.89,92.83
169.06,89.32
169.23,85.92
169.42,86.28
169.59,84.65
169.77,81.95
169.94,82.33
170.13,81.24
170.3,79.48
170.47,79.91
170.63,82.62
170.8,85.89
170.97,85.16
171.13,85.1
171.3,85.12
171.51,84.46
171.68,84.88
171.87,84.92
172.1,85.07
172.27,85.06
172.43,84.86
172.59,85.02
172.76,84.82
172.93,85.2
173.09,84.94
173.26,81.31
173.45,81.46
173.63,82.81
173.79,81.42
173.97,82.44
174.13,88.44
174.31,87.08
174.49,85.8
174.66,86.1
174.85,87.89
175.04,96.07
175.21,97.93
175.4,99.91
175.57,89.71
175.78,84.86
175.94,85.77
176.11,86.97
176.29,86.38
176.46,85.98
176.65,81.89
176.82,83.89
176.98,82.7
177.15,81.09
177.31,79.66
177.48,79.98
177.67,84.52
177.84,85.44
178.02,85.07
178.19,84.79
178.36,85.06
178.53,85.03
178.7,85.09
178.87,84.63
179.04,83.81
179.22,85.53
179.39,85.02
179.56,83.85
179.72,81.76
179.9,81.92
180.08,82.44
180.25,84.99
180.41,84.61
180.67,84.2
180.85,85.32
181.01,86.92
181.18,88.86
181.35,88.67
181.53,89.28
181.74,91.91
181.91,88.71
182.09,88.4
182.28,86.53
182.51,83.48
182.69,83.67
182.88,82.1
183.05,81.51
183.21,83.22
183.42,87.13
183.58,86.03
183.76,84.09
183.94,85.37
184.13,84.52
184.32,84.96
184.49,85.1
184.66,84.79
184.83,84.81
185.0,85.28
185.19,84.75
185.36,85.0
185.54,85.43
185.71,81.09
185.88,78.25
186.05,81.52
186.22,82.89
186.38,86.53
186.55,85.79
186.73,84.98
186.91,85.55
187.08,86.42
187.24,86.3
187.42,87.19
187.61,85.95
187.8,89.12
187.97,92.81
188.2,91.0
188.37,88.28
188.56,85.96
188.73,86.0
188.9,86.36
189.07,81.58
189.25,81.96
189.42,84.55
189.59,83.31
189.77,82.45
189.95,88.63
190.12,83.03
190.28,84.61
190.45,85.71
190.63,85.12
190.8,84.9
190.97,84.88
191.14,85.06
191.3,85.06
191.48,84.71
191.66,84.79
191.82,85.0
192.0,84.96
192.18,84.94
192.34,83.97
192.53,83.15
192.71,82.98
192.88,82.3
193.06,83.18
193.24,85.52
193.42,85.94
193.59,85.46
193.76,84.48
193.92,83.32
194.11,87.38
194.29,90.31
194.47,90.63
194.64,87.71
194.8,85.89
194.98,85.37
195.16,87.93
195.33,86.55
195.55,85.22
195.73,85.6
195.89,85.39
196.05,86.9
196.26,84.36
196.43,84.15
196.61,83.85
196.8,84.03
196.96,82.93
197.13,81.97
197.3,83.63
197.46,85.73
197.63,84.51
197.79,85.53
197.97,84.94
198.15,85.12
198.33,84.98
198.5,84.91
198.69,85.12
198.88,84.8
199.05,85.24
199.22,85.17
199.39,82.01
199.58,83.19
199.75,81.89
199.95,81.35
200.16,84.93
200.34,85.1
200.52,82.78
200.69,82.84
200.85,84.72
201.05,86.59
201.22,86.64
201.39,87.63
201.56,87.99
201.73,87.59
201.92,96.34
202.09,91.4
202.27,85.31
202.44,82.45
202.62,82.41
202.8,86.68
202.98,84.93
203.14,84.64
203.32,84.72
203.52,84.91
203.7,78.87
203.86,79.89
204.04,80.07
204.22,84.45
204.38,87.08
204.59,85.24
204.76,84.89
204.92,85.01
205.1,85.1
205.26,84.99
205.43,85.06
205.61,85.08
205.8,85.07
205.98,84.87
